epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1319.43,0.52019,0.70663,0.8664,0.80205,0.94305,0.96778,0.89876,0.41763,0.86332,0.85424,0.0005941,0.0005941,0.0005941
43,1347.85,0.54748,0.8033,0.86529,0.79225,0.96085,0.97031,0.89739,0.38633,0.83485,0.8486,0.0005842,0.0005842,0.0005842
44,1375.87,0.49732,0.90364,0.88801,0.80391,0.97571,0.97296,0.90035,0.39953,0.83874,0.84701,0.0005743,0.0005743,0.0005743
45,1401.3,0.53724,0.70385,0.872,0.80391,0.97571,0.97296,0.90035,0.39953,0.83874,0.84701,0.0005644,0.0005644,0.0005644
46,1426.75,0.51335,0.77123,0.9214,0.83193,0.96902,0.97314,0.89788,0.44074,0.83766,0.84955,0.0005545,0.0005545,0.0005545
47,1452.65,0.5215,0.73514,0.87364,0.90589,0.92481,0.97235,0.90998,0.47653,0.83832,0.85353,0.0005446,0.0005446,0.0005446
48,1477.57,0.56493,0.86878,0.88029,0.90939,0.9123,0.97513,0.90347,0.42131,0.82134,0.8449,0.0005347,0.0005347,0.0005347
49,1502.75,0.46883,0.70478,0.84583,0.90939,0.9123,0.97513,0.90347,0.42131,0.82134,0.8449,0.0005248,0.0005248,0.0005248
50,1528.15,0.51752,0.75392,0.89903,0.90791,0.90738,0.97088,0.90347,0.3774,0.81714,0.8403,0.0005149,0.0005149,0.0005149
51,1553.69,0.5193,0.71167,0.87679,0.91353,0.91199,0.97101,0.91541,0.38221,0.81693,0.84019,0.000505,0.000505,0.000505
52,1584.25,0.57376,0.70569,0.85783,0.91208,0.91727,0.97225,0.91856,0.40244,0.7755,0.84309,0.0004951,0.0004951,0.0004951
53,1616.53,0.4381,0.67968,0.84215,0.91208,0.91727,0.97225,0.91856,0.40244,0.7755,0.84309,0.0004852,0.0004852,0.0004852
54,1648.22,0.48022,0.68191,0.86283,0.90446,0.94274,0.97365,0.91359,0.4069,0.75481,0.84189,0.0004753,0.0004753,0.0004753
55,1679.43,0.46921,0.6839,0.82736,0.92297,0.93786,0.9739,0.91482,0.39518,0.7559,0.83819,0.0004654,0.0004654,0.0004654
56,1710.46,0.51247,0.6921,0.91845,0.9264,0.93658,0.97604,0.89661,0.40837,0.75552,0.83798,0.0004555,0.0004555,0.0004555
57,1742.51,0.51785,0.67843,0.85446,0.9264,0.93658,0.97604,0.89661,0.40837,0.75552,0.83798,0.0004456,0.0004456,0.0004456
58,1774.43,0.51853,0.72196,0.8596,0.9318,0.94884,0.97856,0.88945,0.4184,0.73042,0.83889,0.0004357,0.0004357,0.0004357
59,1806.36,0.44961,0.66481,0.85932,0.93682,0.95187,0.97925,0.92307,0.41396,0.67733,0.83874,0.0004258,0.0004258,0.0004258
60,1837.76,0.48751,0.64692,0.85253,0.94837,0.94158,0.98147,0.93919,0.39011,0.64299,0.83449,0.0004159,0.0004159,0.0004159
61,1868.51,0.44835,0.65419,0.80692,0.94837,0.94158,0.98147,0.93919,0.39011,0.64299,0.83449,0.000406,0.000406,0.000406
62,1900.08,0.44782,0.64588,0.85144,0.95408,0.96068,0.98583,0.95086,0.36935,0.61883,0.82967,0.0003961,0.0003961,0.0003961
63,1931.87,0.54145,0.73875,0.87379,0.96005,0.96295,0.99042,0.9549,0.39536,0.62218,0.83279,0.0003862,0.0003862,0.0003862
64,1962.79,0.47239,0.67617,0.88938,0.96034,0.96824,0.99042,0.93256,0.41778,0.62077,0.83705,0.0003763,0.0003763,0.0003763
65,1994.7,0.48899,0.99863,0.87438,0.96034,0.96824,0.99042,0.93256,0.41778,0.62077,0.83705,0.0003664,0.0003664,0.0003664
66,2026.59,0.46438,0.68762,0.85414,0.96483,0.97549,0.99167,0.9334,0.43144,0.63599,0.83988,0.0003565,0.0003565,0.0003565
67,2057.79,0.57877,0.80457,0.87365,0.96097,0.98148,0.99307,0.93667,0.41013,0.62527,0.83582,0.0003466,0.0003466,0.0003466
68,2089.16,0.53313,0.65314,0.84086,0.95637,0.98148,0.99282,0.93204,0.39943,0.61993,0.83194,0.0003367,0.0003367,0.0003367
69,2121.1,0.61159,1.09787,0.96159,0.95637,0.98148,0.99282,0.93204,0.39943,0.61993,0.83194,0.0003268,0.0003268,0.0003268
70,2151.88,0.45434,0.61875,0.83387,0.96194,0.97217,0.99269,0.93463,0.37944,0.60921,0.82866,0.0003169,0.0003169,0.0003169
71,2182.27,0.46985,0.70888,0.86611,0.96413,0.96963,0.99295,0.94739,0.3577,0.60077,0.82635,0.000307,0.000307,0.000307
